n,median,center
3,0.744,0.979
4,0.839,0.914
5,0.697,0.929
6,0.775,0.929
7,0.679,0.925
8,0.743,0.932
9,0.669,0.93
10,0.723,0.931
11,0.663,0.935
12,0.709,0.936
13,0.658,0.936
14,0.699,0.937
15,0.656,0.939
16,0.692,0.94
17,0.653,0.94
18,0.686,0.941
19,0.652,0.942
20,0.682,0.943
21,0.649,0.943
22,0.677,0.943
23,0.649,0.944
24,0.673,0.944
25,0.648,0.944
26,0.671,0.945
27,0.647,0.945
28,0.667,0.945
29,0.645,0.945
30,0.665,0.945
31,0.646,0.947
32,0.665,0.947
33,0.643,0.947
34,0.661,0.946
35,0.645,0.948
36,0.662,0.948
37,0.643,0.947
38,0.66,0.948
39,0.643,0.948
40,0.659,0.948
41,0.643,0.948
42,0.658,0.949
43,0.644,0.949
44,0.658,0.949
45,0.642,0.949
46,0.657,0.949
47,0.641,0.949
48,0.656,0.95
49,0.642,0.949
50,0.655,0.95
51,0.642,0.95
52,0.654,0.95
53,0.642,0.95
54,0.652,0.95
55,0.642,0.95
56,0.653,0.95
57,0.641,0.95
58,0.653,0.95
59,0.641,0.95
60,0.652,0.951
61,0.641,0.951
62,0.65,0.95
63,0.641,0.95
64,0.65,0.95
65,0.643,0.952
66,0.65,0.951
67,0.64,0.951
68,0.649,0.951
69,0.64,0.951
70,0.649,0.95
71,0.641,0.951
72,0.649,0.951
73,0.639,0.951
74,0.65,0.952
75,0.641,0.952
76,0.648,0.951
77,0.641,0.952
78,0.649,0.952
79,0.641,0.951
80,0.649,0.952
81,0.642,0.952
82,0.647,0.952
83,0.64,0.952
84,0.647,0.952
85,0.639,0.951
86,0.648,0.952
87,0.639,0.951
88,0.647,0.952
89,0.64,0.951
90,0.647,0.952
91,0.641,0.952
92,0.647,0.952
93,0.639,0.952
94,0.647,0.953
95,0.638,0.951
96,0.647,0.952
97,0.64,0.952
98,0.645,0.951
99,0.639,0.952
100,0.645,0.952
