n,spread,mad
3,0.903,0.401
4,0.931,0.545
5,0.739,0.385
6,0.748,0.462
7,0.764,0.379
8,0.763,0.433
9,0.783,0.376
10,0.78,0.417
11,0.78,0.374
12,0.792,0.408
13,0.797,0.373
14,0.795,0.401
15,0.801,0.373
16,0.807,0.396
17,0.81,0.372
18,0.81,0.392
19,0.812,0.371
20,0.815,0.391
21,0.817,0.37
22,0.818,0.389
23,0.82,0.371
24,0.822,0.387
25,0.824,0.37
26,0.825,0.385
27,0.828,0.371
28,0.829,0.384
29,0.828,0.369
30,0.829,0.383
31,0.83,0.369
32,0.832,0.381
33,0.834,0.371
34,0.834,0.381
35,0.834,0.369
36,0.835,0.38
37,0.835,0.369
38,0.836,0.379
39,0.837,0.369
40,0.837,0.378
41,0.838,0.368
42,0.839,0.378
43,0.84,0.37
44,0.841,0.378
45,0.841,0.369
46,0.841,0.378
47,0.841,0.369
48,0.841,0.376
49,0.841,0.368
50,0.842,0.376
51,0.843,0.369
52,0.843,0.376
53,0.844,0.369
54,0.844,0.376
55,0.844,0.369
56,0.845,0.376
57,0.845,0.37
58,0.845,0.374
59,0.846,0.368
60,0.847,0.376
61,0.847,0.368
62,0.848,0.375
63,0.846,0.368
64,0.846,0.373
65,0.847,0.369
66,0.848,0.374
67,0.849,0.369
68,0.849,0.375
69,0.848,0.368
70,0.848,0.373
71,0.849,0.368
72,0.849,0.372
73,0.849,0.368
74,0.848,0.373
75,0.85,0.369
76,0.849,0.373
77,0.85,0.368
78,0.849,0.373
79,0.85,0.369
80,0.851,0.373
81,0.851,0.369
82,0.85,0.374
83,0.85,0.368
84,0.85,0.373
85,0.851,0.368
86,0.85,0.372
87,0.851,0.368
88,0.852,0.373
89,0.851,0.368
90,0.852,0.373
91,0.852,0.368
92,0.851,0.372
93,0.853,0.369
94,0.851,0.372
95,0.852,0.368
96,0.852,0.372
97,0.853,0.369
98,0.852,0.372
99,0.853,0.368
100,0.852,0.371
